date,inflation
1960,1.77987784677391
1961,1.69521293914433
1962,3.63221497106987
1963,2.94616135685225
1964,13.3552611508153
1965,9.47475859170695
1966,10.8018483489341
1967,13.062202477797
1968,3.23741242627507
1969,-0.584136610466281
1970,5.09226161997545
1971,3.07993868406546
1972,6.44209746158235
1973,16.9408159791736
1974,28.5987340775089
1975,5.74843029767442
1976,-7.63394763392881
1977,8.30747009171166
1978,2.52304875695179
1979,6.27568336762338
1980,11.3460734795095
1981,13.112546897642
1982,7.89074279377487
1983,11.8680812986734
1984,8.31890711860072
1985,5.55642423236554
1986,8.72972072702581
1987,8.80112581251833
1988,9.38347186185336
1989,7.07428002942296
1990,8.97123250273255
1991,13.8702461773683
1992,11.7878170418134
1993,6.32689048779867
1994,10.2479355556119
1995,10.2248861637545
1996,8.97715233826453
1997,7.16425211462721
1998,13.2308389767977
1999,4.6698203803759
2000,4.0094359104519
2001,3.77929312235637
2002,4.29715203929562
2003,3.80585899528853
2004,3.76725173477517
2005,4.24634362031924
2006,5.79652337561634
2007,6.37288135593231
2008,8.34926704907575
2009,10.8823529411764
2010,11.9893899204245
2011,8.9117933648336
2012,9.47899691419793
2013,10.0178784746104
2014,6.66565671867899
2015,4.90697344127249
2016,4.94821634062134
2017,3.32817337461305
2018,3.93882646691643
2019,3.72950573539123
2020,6.6234367762853
2021,5.13140747176364
2022,6.69903414079858
2023,5.64914318907925
2024,4.95303550973661
2025,2.39884954182294
